[2016-12-06 00:00:49] my_logger.INFO: Acessou a página eduardo [] []
[2016-12-06 00:21:40] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:21:41] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:21:41] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:21:42] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:21:43] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:21:43] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:21:44] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:21:44] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:21:44] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:21:44] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:21:44] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:21:45] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:21:45] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:22:07] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:22:27] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:22:28] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:22:28] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:23:45] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:23:47] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:23:48] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:23:49] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:23:51] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:23:51] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:23:52] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:23:53] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:23:53] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:23:53] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:27:22] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:27:23] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:27:23] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:27:24] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:30:38] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:30:39] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:30:39] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:30:40] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:32:32] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:32:33] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:32:33] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:32:33] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:32:34] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:32:53] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:32:54] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:32:55] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:19] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:20] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:21] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:21] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:21] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:22] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:22] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:23] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:23] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:24] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:24] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:25] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:25] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:26] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:26] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:39:54] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:57:27] my_logger.INFO: Lista de Conselho de Classe [] []
[2016-12-06 00:57:29] my_logger.INFO: Lista de Conselho de Classe [] []
